¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.856071
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.840687
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.8267
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.035222
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.028446
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.023053
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.019036
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.016389
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.015112
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.015203
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.372153
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.558231
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.758834
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97567
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.209135
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460602
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.505752
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.475035
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.445859
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.418189
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.391997
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.367254
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.343935
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.322013
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.301467
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.282274
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.264416
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.247873
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.590382
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.579227
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.56939
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.376054
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.368851
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.363096
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.358787
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.355913
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.354475
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.35447
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.367884
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.553631
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753857
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.970305
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204894
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456501
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.47981
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.449244
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.42021
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.392677
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.366614
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.341994
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.318793
ˆ (413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.296983
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.276543
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.257451
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.239687
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.223233
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.552499
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.539085
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.525486
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.621125
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.745498
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.739333
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.734686
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.73155
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.729923
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.729803
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.363736
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.549183
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.749043
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965098
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199264
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452599
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.455354
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.424927
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.396027
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.368622
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.342683
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.318179
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.295088
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.273384
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.253043
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.234046
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.216371
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.200001
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.50616
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.491381
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.477929
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.612509
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.859028
(413.77, 14.32, 249.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.59129
(413.77, 14.32, 249.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 17.14109
(413.77, 14.32, 249.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 17.04481
(413.77, 14.32, 249.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 18.96664
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.359699
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.544857
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.744405
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.960045
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19378
(413.77, 14.32, 249.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447808
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.432352
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.402058
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.373283
ˆ (413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.346
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.320174
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.295781
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.272795
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.251189
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.230941
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.212032
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.194441
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.183905
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.460253
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.445622
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.432311
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.604609
(413.77, 14.32, 249.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 6.976377
