¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74389
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91434
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.77687
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.74669
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.72043
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.69807
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.67961
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.665
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.65425
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.64733
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.64425
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.58992
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801722
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094311
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414762
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767112
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15625
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589259
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086435
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639441
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.091
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58912
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12508
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58721
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09184
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32982
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9677
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.95578
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.92538
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.89894
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.87645
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.85787
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.84319
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.8324
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.82548
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.82243
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.76767
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800178
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09264
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412939
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765055
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154014
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585733
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080251
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.594898
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04202
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53505
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08124
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57056
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07367
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78488
­(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01987
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.1419
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.11128
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.08466
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.06202
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.04333
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.02857
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.01774
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.01082
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.00781
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 19.95259
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798557
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090866
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.410976
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.762924
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151611
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.583078
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.073894
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551079
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99391
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48191
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02227
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55487
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05655
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77623
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0231
(333.22, 7.17, 380.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14686
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.30466
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.27785
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.25506
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.23626
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.22143
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.21056
(333.22, 7.17, 380.09) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.20364
