¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.870414
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937831
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.007987
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081017
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157064
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.236271
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318811
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404771
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.494451
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587943
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68549
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787309
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893653
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048254
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.188603
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.311173
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.439442
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573805
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714693
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862451
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.017553
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180542
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351939
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.532427
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722579
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.663913
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723239
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.784955
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849164
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916002
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985546
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057936
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.133311
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211813
(342.13, 7.18, 376.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293588
