¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22455
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45953
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89104
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70727
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80577
(396.91, 13.77, 246.86) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 11.40625
(396.91, 13.77, 246.86) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 11.01664
(396.91, 13.77, 246.86) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.94599
(396.91, 13.77, 246.86) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 10.95812
(396.91, 13.77, 246.86) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 11.06411
(396.91, 13.77, 246.86) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 11.50673
(396.91, 13.77, 246.86) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 11.21819
(396.91, 13.77, 246.86) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 11.15876
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.945872
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18671
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450371
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740379
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059134
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.405654
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.798054
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.236056
(396.91, 13.77, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.727992
