¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19215
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41339
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64531
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88864
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14412
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40044
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.616
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84134
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12493
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6763
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5312
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749387
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985675
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.236851
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953781
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26575
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573517
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880515
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215088
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581081
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973217
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.349094
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.759848
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21966
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66516
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08791
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54792
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01208
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22785
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45045
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68381
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92867
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1858
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45604
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67472
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90204
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33511
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9033
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529025
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.747025
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984138
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235779
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949084
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260587
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578599
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.88603
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221123
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587683
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989128
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.366437
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.778791
î(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24442
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70719
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13345
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59742
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0668
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26586
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4899
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72481
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9713
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23015
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50226
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7366
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01497
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55465
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14065
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.526864
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744679
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981582
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234756
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944504
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255562
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584026
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891933
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227553
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594769
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998076
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384541
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798564
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27005
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75076
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18065
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64872
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14708
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34771
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5576
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77727
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0165
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27723
(325.79, 7.08, 332.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55131
