°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.40863
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.37923
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.35275
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.32914
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.76245
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58628
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804278
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.041953
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301203
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582899
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888703
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.225782
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599103
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01475
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.480246
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634489
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2742
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00724
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85314
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79886
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91151
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.54791
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.51527
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.48559
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.45885
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.43501
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.39944
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.588259
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807117
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045045
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304337
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582975
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888786
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.225876
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599208
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014866
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479917
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630298
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26944
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00173
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84899
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79686
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90912
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.65935
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 14.62639
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.13485
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10644
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.08069
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.05759
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.590898
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809982
Å(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048163
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304451
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583101
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888926
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226029
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599379
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018164
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478633
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626207
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26478
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99638
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84276
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7951
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.01866
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.00971
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.0033
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 12.99944
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 12.99811
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 12.99931
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.00305
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593559
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.81287
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049713
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304614
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583277
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88912
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226243
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601481
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018297
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.477455
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622219
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26023
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99116
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83667
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79364
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.12255
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.11365
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10732
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10354
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10232
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10366
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.10755
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.596241
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.81578
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049902
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304819
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583504
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.889368
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.227312
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60687
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01734
ñ(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476381
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618332
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25582
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98605
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83075
(424.51, 14.77, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79247
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.23069
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.22184
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.21559
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.21191
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.21081
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.21228
(424.51, 14.77, 251.85) (400.77, 7.54, 238.52) (1.24, 1.54, 1.87) Tools 13.21634
