¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.33513
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.30289
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.27357
(438.84, 14.84, 253.88) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 16.13756
(438.84, 14.84, 253.88) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 16.15361
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 15.90891
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 15.89539
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 15.91563
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 15.94402
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 15.97561
(438.84, 14.84, 253.88) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 16.01047
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.286057
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612567
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.971346
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367325
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806463
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283844
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820124
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43668
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13815
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87188
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63937
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32174
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14851
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.222
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.19001
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.16092
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 16.35286
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 16.33262
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.31561
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.30181
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.29121
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.28379
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.27955
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.27848
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284529
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610895
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.969484
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365256
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.804201
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284497
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.824896
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44207
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14429
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89667
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61544
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29506
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05498
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.11337
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.08163
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.10898
ê(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.93957
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.90664
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.45119
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.6452
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.67246
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.70345
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.7382
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.77675
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282869
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609062
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.96746
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363026
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801729
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284933
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829365
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44715
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15012
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92148
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59208
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26906
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02587
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.0091
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 13.97759
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 14.06814
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.57993
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.54789
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.5923
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.22958
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.2552
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.28446
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.31739
(438.84, 14.84, 253.88) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 18.35402
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280478
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606809
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.965261
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360616
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799028
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.286037
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833616
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45193
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15558
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94635
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56936
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24374
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 13.94321
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 13.90905
(438.84, 14.84, 253.88) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 13.87776
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.2734
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.23908
(438.84, 14.84, 253.88) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 15.20786
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.73913
á(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.83544
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.85954
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.8872
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.91845
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.95331
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274426
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.600186
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958098
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.353125
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791168
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283909
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832603
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45151
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15585
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96451
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57587
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24733
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99738
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01974
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97116
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.67622
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.68535
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.69794
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.8919
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.46126
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.48397
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.51015
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.53984
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.57307
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268265
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593414
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95066
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.344847
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782003
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.276855
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828654
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44705
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15075
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95864
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63125
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30894
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0664
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0081
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95625
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.3196
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.32771
(438.84, 14.84, 253.88) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 17.33921
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.05082
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.10568
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.12709
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.15191
ß(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.18016
(438.84, 14.84, 253.88) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 17.21185
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261949
(438.84, 14.84, 253.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.586489
