¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.15487
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372217
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.688114
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03395
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.414034
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833752
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.299363
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.818875
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40195
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0112
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57407
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95145
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36542
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86305
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4023
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93676
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43639
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97621
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.31992
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.29388
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.27146
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.25265
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.22725
(379.02, 14.78, 303.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.21561
