¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318003
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567092
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.832385
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109659
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41186
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.742526
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105717
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50641
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902543
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.327584
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797187
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31871
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8969
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5278
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23876
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73461
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62148
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60822
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90378
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2135
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53827
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87903
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62211
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23668
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89722
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63562
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31777
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.092661
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322782
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572248
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840121
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118065
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421049
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75261
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116781
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514414
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903704
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.329729
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.800546
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32354
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87094
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50254
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21454
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20826
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74739
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45412
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.744
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04767
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36597
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69994
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05206
„(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73333
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35916
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03942
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71226
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097138
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327598
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579748
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848032
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126672
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.43047
(365.70, 9.35, 334.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.762876
