¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.775889
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.9716
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.185089
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418839
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.675819
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959607
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274554
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625332
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.018629
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.463115
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.678139
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297121
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0129
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85038
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82505
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99983
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85456
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28062
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.55102
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.47614
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.40526
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.33833
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.27526
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.216
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.16047
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.10863
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.06041
(418.19, 8.23, 362.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.608964
