¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.54802
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.5154
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.35199
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.856891
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.08953
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.30566
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.68244
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.5543
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.53852
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.54942
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.66388
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.96172
(332.19, 7.37, 365.97) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.04129
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.777098
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.801373
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.873654
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.949521
(332.19, 7.37, 365.97) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.029222
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.043428
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436493
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.885923
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413593
(332.19, 7.37, 365.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01001
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.6429
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.61226
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.585337
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.630198
(332.19, 7.37, 365.97) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.88953
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.12257
(332.19, 7.37, 365.97) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 12.33502
(332.19, 7.37, 365.97) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.72147
