¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.50909
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.720856
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.265113
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.874825
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58073
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38267
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35646
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48037
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80083
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.38051
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07363
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.92681
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.02027
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.47684
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.72893
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.275234
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.885314
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58917
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39252
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36375
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48504
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79944
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.36491
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.05233
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.90678
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.99053
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.44268
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.736271
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.28446
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.894726
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59648
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40088
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36938
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48783
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7959
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34719
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.02982
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.8853
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.959
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.40737
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.742969
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.292779
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.903057
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60264
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40774
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37335
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48874
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79022
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.32737
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.00554
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.86238
œ(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.92569
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37571
(379.30, 15.29, 299.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.749499
