¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725707
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017898
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338102
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690502
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080118
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.464831
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.435724
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.408449
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.382979
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.359289
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.337353
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.317147
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.298656
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.281855
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.266731
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.253269
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.241454
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.425992
(425.64, 14.83, 253.05) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 10.21562
(425.64, 14.83, 253.05) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 11.38921
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.554358
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.751825
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964993
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195854
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446633
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717963
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013554
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333344
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.68525
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074321
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.478892
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.449728
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.4224
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.396881
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.373144
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.351162
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.330916
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.312385
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.295549
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.280394
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.266903
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.25506
(425.64, 14.83, 253.05) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 8.425127
(425.64, 14.83, 253.05) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 10.20749
(425.64, 14.83, 253.05) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 11.38473
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.550585
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.747704
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.960573
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191069
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.440359
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710306
ñ(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00941
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328809
(425.64, 14.83, 253.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680251
