¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93608
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02946
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87848
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.3084
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.33412
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.36311
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.39541
(388.93, 14.62, 306.79) (428.60, 8.13, 301.64) (0.88, 1.64, 0.98) Tools 24.80995
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594385
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866354
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163216
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48839
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.632957
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.60321
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.575164
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.548792
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.524064
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.500955
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.479441
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93371
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91329
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.997
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75551
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.41489
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.44114
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.4707
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.50358
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592967
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864823
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161526
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486547
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.717051
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.686995
(388.93, 14.62, 306.79) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.658658
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167904
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.718557
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36019
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1057
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92073
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89051
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9691
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63346
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.52591
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.55273
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.58288
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.61637
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591562
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863284
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159831
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484686
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841988
Æ(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236838
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.675328
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165055
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715348
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35397
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09849
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90841
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86777
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94235
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51239
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.6416
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.66901
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.69978
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.73392
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590094
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86168
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158071
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482738
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839895
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234511
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672754
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162138
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712039
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34752
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09107
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89605
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84509
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89638
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39233
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.7621
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.79014
(388.93, 14.62, 306.79) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 16.82156
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588606
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860041
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156266
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48079
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837749
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.232116
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670065
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.159132
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.708676
(388.93, 14.62, 306.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34091
