¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349611
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.669167
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023813
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42356
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855737
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.330049
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860095
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45895
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16756
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96737
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89746
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93033
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14157
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81892
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65873
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.07527
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.05056
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.02981
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.013
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 20.00012
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.99115
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.98608
(344.83, 7.00, 372.19) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.98491
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.796339
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066067
(344.83, 7.00, 372.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359555
