¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.190057
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.184432
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.189873
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.219379
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.250549
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.305979
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.382542
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.48361
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.64248
(414.66, 12.75, 330.32) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 9.739683
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00705
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.888
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53414
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63509
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.80143
(414.66, 12.75, 330.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.81877
(414.66, 12.75, 330.32) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.854302
(414.66, 12.75, 330.32) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.851765
(414.66, 12.75, 330.32) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 6.850563
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.233945
(414.66, 12.75, 330.32) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 7.195119
