¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103017
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253858
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432319
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704061
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001165
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.319788
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530649
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832101
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258362
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585308
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941031
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36533
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35575
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11579
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94878
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44473
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3608
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20498
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85313
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45638
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13795
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.901733
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.044627
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.17943
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.316083
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.461235
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.807698
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94181
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083477
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233282
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398868
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667628
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961326
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254887
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461789
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682414
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213961
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537241
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888807
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35197
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33769
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1127
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00516
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4673
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28149
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08709
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7701
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29939
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98663
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.907431
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.049998
ò(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.18877
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.325967
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.66442
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.790694
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923945
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.06469
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21351
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371098
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632057
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92247
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192004
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395093
(327.46, 7.21, 327.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611586
