¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34572
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.61818
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.18211
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.31086
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.91151
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.6468
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615551
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832633
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0545
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.295188
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.570621
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.871935
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.188634
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.543757
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.963357
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.432851
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.085734
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.933699
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78323
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62172
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4778
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70473
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.25905
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.5259
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.05771
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.5786
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22483
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97122
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.60828
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.822873
(350.96, 7.14, 358.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043934
