¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.62087
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.71063
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.86663
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41459
(381.90, 6.97, 355.00) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 19.47362
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.56659
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.40384
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.38924
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.47289
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.68536
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206917
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526409
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882198
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281507
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719837
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205591
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750631
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3486
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02082
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78889
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.74992
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.62457
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.59777
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.58946
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.67865
(381.90, 6.97, 355.00) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 11.83082
(381.90, 6.97, 355.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51694
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.96666
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.39525
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.23903
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.22459
(381.90, 6.97, 355.00) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 14.30515
