¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.309316
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.454685
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.611133
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.779936
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.962571
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.160766
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376538
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612286
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.87292
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156038
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989553
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365654
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786094
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259146
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.795293
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407776
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11409
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93739
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77867
(377.07, 16.38, 289.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70953
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.167593
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.151694
(377.07, 16.38, 289.02) (383.02, 8.54, 305.60) (0.81, 2.16, 0.81) Human 2.136444
