¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901887
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288711
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673049
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.822289
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.03471
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.510605
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04249
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63273
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28911
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13352
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99305
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8931
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93017
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81497
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35174
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77515
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23166
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71724
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23464
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85151
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59347
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179829
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40948
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658199
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928383
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222932
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543892
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.894058
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280043
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677789
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.747859
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.036227
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.512294
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04353
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64048
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29787
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12151
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03815
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95281
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36111
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86395
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38704
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80075
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25693
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74397
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25928
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64742
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37607
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16808
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171075
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400009
Ê(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.647932
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917223
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210743
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531778
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884365
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271554
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.662673
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.676739
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.038152
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.51443
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04576
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64593
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30732
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11009
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.08454
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01422
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40956
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91574
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41824
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83354
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28529
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77398
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26374
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59165
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16368
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93815
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.162413
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.390648
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637807
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906199
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198709
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518628
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869863
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.257239
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.552153
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591079
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.041626
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.517015
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04865
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6482
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31746
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09927
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.07749
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07737
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44659
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97031
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45233
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86941
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3169
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8074
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27178
Å(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59991
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95972
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71754
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153867
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381391
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62775
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895303
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186811
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505563
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855542
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241423
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446069
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.570442
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.04422
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.520052
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05205
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65103
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3283
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08903
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.06552
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.14227
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45144
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02777
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48938
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90842
(337.68, 7.76, 340.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35277
