¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82689
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78221
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93318
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30059
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02879
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94107
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63219
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39161
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2513
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.23554
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020605
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354697
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.723754
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133296
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.158908
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.703152
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31833
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0191
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82444
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78487
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94191
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3246
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01204
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95112
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89968
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68456
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61444
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60461
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.018669
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.352561
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.721124
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130526
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588112
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701136
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31604
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01644
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82137
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7867
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94407
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32332
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99132
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95989
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07447
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00123
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.73173
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51712
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016516
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.350185
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718001
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.12746
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.584676
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698718
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3133
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0133
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81776
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7877
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94118
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3054
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96923
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96448
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07142
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92832
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65374
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.43355
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.014147
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347573
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.714891
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124095
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.580905
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695903
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31009
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00967
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81357
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7879
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92549
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28644
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94588
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95091
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07563
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8278
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57931
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49252
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.011559
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34472
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.711605
(419.86, 14.40, 316.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120433
