¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237527
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63185
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.062065
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.546711
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.086539
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.704151
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40924
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21937
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0662
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24145
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64191
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28367
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.48743
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.43108
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.40633
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.38517
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.36752
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.3534
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.34275
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.973244
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.144256
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.329722
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.530579
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751865
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99453
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260261
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553514
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.868233
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.216226
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608309
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.035722
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.517048
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052937
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666242
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36608
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16871
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13384
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1634
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54767
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16413
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.46179
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.41117
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.39384
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.37995
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.36958
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.36267
(415.64, 14.50, 251.23) (384.26, 8.06, 250.87) (0.81, 2.16, 0.81) Human 15.35926
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.963351
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.133619
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.318424
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.51836
ì(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.738772
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.980252
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24479
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536314
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849236
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.195774
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585182
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.009854
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.487945
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019982
(415.64, 14.50, 251.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.629089
