¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.70651
(386.89, 7.11, 357.79) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.09372
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061326
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.300355
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56034
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.844098
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154972
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496959
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874894
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.294658
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.763498
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.290433
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.886839
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56727
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35346
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28062
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39142
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70633
(386.89, 7.11, 357.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38129
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.18817
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.12794
(386.89, 7.11, 357.79) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 17.1604
