¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186596
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332459
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485831
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647266
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8174
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996879
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194257
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.405381
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.62934
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782304
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940039
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.105399
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278812
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560395
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20416
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.309844
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.471227
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.61117
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.759611
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917315
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085105
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263914
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454893
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66283
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81913
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92996
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045856
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16713
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308131
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.460421
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620708
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789572
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967703
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160863
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370176
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581598
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730436
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886309
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049614
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220881
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400608
(327.44, 7.19, 328.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.909842
