¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44473
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.47297
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.4554
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.44049
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.42823
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.4186
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.4116
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.85302
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.004194
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.166144
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.339986
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.527058
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.728826
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.947112
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183977
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441769
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.72337
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032128
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372119
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.748293
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166578
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.610181
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.095718
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.641329
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2587
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95602
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71165
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55379
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43984
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.62225
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.60436
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.58916
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.57664
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.56679
(341.52, 7.23, 371.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.55959
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.848179
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.999
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.16056
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.333997
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.520616
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.721894
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.939621
(341.52, 7.23, 371.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175835
