¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
˜(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.8415
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.82916
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.81993
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.81378
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.81079
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.81089
(333.08, 7.23, 328.95) (329.28, 1.60, 297.58) (0.81, 2.16, 0.81) Human 15.84106
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.571722
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.756326
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954047
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164717
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392157
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638358
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905672
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196874
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515268
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864735
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249955
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.676661
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.303055
(333.08, 7.23, 328.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04848
