¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311971
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.681636
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098215
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.560712
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.083414
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.674076
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32965
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06705
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89888
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.818
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84573
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.05581
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5012
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25751
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.41243
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.55438
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119404
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.371673
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646898
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952161
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287125
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.654108
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067495
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.525941
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.044055
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.628993
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27839
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00888
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83312
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74464
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75997
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95426
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.37907
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.10787
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.24438
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51398
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102526
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.353205
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626709
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929984
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.262404
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626727
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.03693
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.491388
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.004935
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.584244
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22759
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95135
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76817
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67236
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67558
ö(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85442
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25916
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.96118
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.06239
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47588
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.085639
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334815
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606609
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.907896
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237811
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599495
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.006526
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.457062
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.966062
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.539838
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17726
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89445
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70404
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60118
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59252
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75628
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.14143
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.81739
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.88432
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39017
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.068824
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.316505
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586601
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8859
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213346
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.572419
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.976283
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.42296
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.927434
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.495779
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12739
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83818
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64073
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53106
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51079
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65981
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02585
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.67644
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.71009
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27294
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052081
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.29828
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.566691
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.864001
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.189019
(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.545504
ò(334.62, 7.36, 348.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.946208
