¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354838
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607228
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881889
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181856
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510695
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872678
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273013
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718044
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215588
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747049
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28906
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93672
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56281
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.23896
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.85592
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.70844
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.61692
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.55387
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.54713
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.55526
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.60673
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.69583
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.83135
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 12.10814
(443.67, 14.83, 258.46) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 13.51095
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699072
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.897897
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112291
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344131
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595623
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869263
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168031
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495512
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855938
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254464
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697409
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192459
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720493
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24298
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88459
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50773
(443.67, 14.83, 258.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19256
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.92008
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.76089
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.66338
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.59828
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.58954
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.59464
(443.67, 14.83, 258.46) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 11.64647
