¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.87033
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.8622
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.85621
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.85233
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.85057
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.85093
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.8534
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122983
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357494
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611985
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889127
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.191976
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.298545
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.268937
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.240974
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.214628
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.189868
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.16667
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15023
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78531
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.90382
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.87848
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.85536
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.83445
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.81572
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.79916
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.78475
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.77248
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.76233
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.75429
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74836
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74453
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74279
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74315
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74561
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.125926
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.360661
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615477
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.892923
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196137
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.278284
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.248762
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.220881
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.19461
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.169923
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.146793
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.125195
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.105111
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.79859
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.77349
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.7506
ú(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.7299
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.71136
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.69497
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.68071
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.66856
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.65851
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.65056
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64469
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.6409
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63919
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63956
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64199
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.128917
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36389
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.43711
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.431069
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.426291
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.422771
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.420506
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.419493
(434.10, 14.27, 309.63) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 6.419733
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.151482
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.182684
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.258148
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.336667
(434.10, 14.27, 309.63) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.56398
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.67258
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64991
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.62941
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.61105
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.59482
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.58069
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.56866
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.55872
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.55085
(434.10, 14.27, 309.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.54504
