¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.878199
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.78805
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.701427
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.618176
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.539063
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.567555
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.59775
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.070406
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303976
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.557588
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833816
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135851
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467293
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832631
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237242
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.68775
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192249
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746532
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21647
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78664
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4486
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.040238
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.029038
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.764049
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.495167
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.243852
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.008496
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.909409
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.816983
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.728181
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.642848
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.560836
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.482009
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.509118
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.538866
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.062565
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.295485
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548343
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823752
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124788
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455124
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819204
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222333
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.671087
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173567
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.736963
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20592
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74598
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40269
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.973016
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.963539
º(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.686709
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.422359
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.175173
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.944182
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.849363
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.758276
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.670757
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.586653
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.505821
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.428125
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.453024
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.482344
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05474
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287056
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.539182
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813758
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113827
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443086
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805902
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207597
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654613
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.155043
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71893
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19601
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71359
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35769
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.908526
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.891386
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.612828
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.352776
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.109501
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.885299
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.791811
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.701999
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.615701
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.532766
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.453057
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.376441
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.399199
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.428112
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047019
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27868
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.530055
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803802
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102972
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431129
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792716
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19293
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.638288
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136749
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698213
Â(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18675
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70331
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.874475
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.846685
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.816356
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.542278
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.286296
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.046732
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.828897
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.736676
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.648076
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.562939
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.481119
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.405779
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.359068
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.363439
(338.26, 7.42, 335.34) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.380114
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039368
(338.26, 7.42, 335.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270352
