¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š (426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.193555
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.182442
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.491285
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85834
(426.33, 14.93, 248.26) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 22.86981
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.99835
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.96321
(426.33, 14.93, 248.26) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 22.96387
(426.33, 14.93, 248.26) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 22.81857
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.90158
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.99171
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.019094
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254043
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.396327
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.366478
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.338135
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.311269
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.285851
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.261851
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.239246
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.218012
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.198126
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.179568
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.162319
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.146358
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.131674
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.11825
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.106072
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.095129
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.495661
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.82158
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.0363
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 24.02408
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.99351
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.97483
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.96104
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 23.95215
(426.33, 14.93, 248.26) (386.81, 7.89, 247.64) (0.81, 2.16, 0.81) Human 24.06521
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.017461
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.252319
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.30829
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.278865
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.250925
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.22444
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.199383
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.175725
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.153442
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.132511
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.11291
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.094618
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.077616
‚ (426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.061887
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.047415
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.034187
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.022187
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.011405
(426.33, 14.93, 248.26) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 6.500207
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.78709
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.96768
(426.33, 14.93, 248.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.015882
