¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ö(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124996
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533516
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.987171
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.493698
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0628
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70675
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44111
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28617
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26021
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 13.28658
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.99738
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.84886
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.77932
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.74644
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.76422
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.83237
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.94285
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 13.13867
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19254
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38933
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750518
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119799
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527779
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980753
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486519
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05472
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69754
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43054
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27394
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25455
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08943
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 13.1395
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.98811
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.9066
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.86574
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.8841
(445.27, 14.45, 263.52) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 12.94699
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50045
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98088
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74692
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02103
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745588
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114361
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521735
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.974014
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478991
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0462
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68786
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41948
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26115
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23955
¸(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12983
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.968
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80466
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31045
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62268
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95047
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2949
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78075
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37259
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33857
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740397
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10865
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515408
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.96697
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.47109
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0373
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67774
(445.27, 14.45, 263.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40788
