¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216479
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871492
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150317
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454305
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630183
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767003
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910353
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060712
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.218529
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384313
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558636
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742084
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.935364
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139226
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40487
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.703678
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02415
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3686
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73976
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14068
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2162
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871408
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150249
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454237
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616963
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753214
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896047
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045797
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202971
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.368069
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541658
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724322
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.916784
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.1197
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287235
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533731
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803732
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13255
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48634
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86791
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21589
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871396
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150219
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454179
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604644
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740399
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882681
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031897
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188453
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352913
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52584
ÿ(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.707788
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.89942
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.069625
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221695
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446342
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.703259
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976479
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26761
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60972
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00235
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215548
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.871378
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150243
(342.02, 7.14, 374.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45418
