¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.1121
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.26396
(423.85, 14.68, 253.66) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 15.0566
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.05324
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291386
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982731
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287338
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621278
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98795
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374308
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80176
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283976
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.831886
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45066
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15489
(423.85, 14.68, 253.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95479
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.48775
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.45242
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.41971
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.38958
(423.85, 14.68, 253.66) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 12.362
