¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.797791
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.782098
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.767611
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.754315
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.78057
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.7604
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.78161
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 11.49867
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.170723
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.249223
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.334086
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.426095
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.526169
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.918159
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.901223
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.885186
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.870032
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.855745
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.842308
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.82971
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.867558
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.133566
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.856373
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.840483
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.825811
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.812344
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.86662
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.84624
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.83974
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 11.56488
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.172126
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.250737
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.335725
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.427873
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.528105
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.906727
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.889845
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.87386
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.858755
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.844514
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.831122
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.818564
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.87215
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.138825
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.445879
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.90123
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.886366
(422.65, 14.73, 249.45) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 5.872719
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.95622
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.93562
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 10.91722
Š (422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.64055
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.173566
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.252291
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.337406
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.429698
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.530092
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.896126
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.879294
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.863356
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.848297
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.834099
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.820747
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.808229
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 3.876866
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.144227
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.452126
(422.65, 14.73, 249.45) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 4.810463
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 11.38026
(422.65, 14.73, 249.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 11.07256
