¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ (430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.0076
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.97052
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.93746
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.90838
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.88326
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.30727
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.69944
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.65842
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.62139
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 19.63276
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.74877
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.02828
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 20.00633
(430.82, 11.49, 344.99) (426.17, 13.57, 302.58) (8.74, 12.19, 17.94) Truck 21.44318
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31882
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0672
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96181
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80379
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72289
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99068
(430.82, 11.49, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57792
