¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.53965
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.858943
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.215987
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613811
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067498
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225624
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.870381
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6312
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52153
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57727
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84726
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30722
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11508
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18651
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01821
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.513777
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.65497
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.805928
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.966494
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.139197
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.325418
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.52729
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748055
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988427
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251054
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539105
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857545
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214436
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.612081
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66806
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220228
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860985
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62024
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50866
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56193
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83524
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29252
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11146
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13822
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93443
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.513771
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.654964
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.806243
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.966866
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.139596
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.32585
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527229
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.747919
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988276
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.250888
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538922
à(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856536
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213315
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.610829
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.663833
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215462
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852249
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61015
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49676
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55395
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82462
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27956
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15031
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09306
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9151
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.513929
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.655132
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.806424
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.967449
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.140223
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.326524
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527958
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.74806
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988424
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25105
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539102
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856355
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.21262
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.610055
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660215
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211335
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844234
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60081
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48579
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55033
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81545
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26833
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19134
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0509
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03631
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.515002
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.655478
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.806794
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.96824
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.141075
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.327444
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.528952
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748479
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988876
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251544
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539644
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856975
ç(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212357
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.609758
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657126
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207886
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836867
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59229
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47576
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54777
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80768
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25883
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23459
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01183
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16284
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.51627
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.655999
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.807353
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.969243
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.142153
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.328606
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.530208
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.749175
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.989629
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252368
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540548
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857979
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212521
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167828
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654593
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205017
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832182
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58453
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46666
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54624
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80133
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25107
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28006
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97103
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.29473
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.517713
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.656697
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.808098
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.970456
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.143456
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.330012
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.531729
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75048
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.990685
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.253522
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541815
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.859375
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213112
î(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166073
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652637
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.202769
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829668
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57758
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45849
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5458
(418.95, 14.19, 318.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79637
