¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.335488
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.8359
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.402185
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04812
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53531
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45965
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54794
(376.02, 7.11, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50586
(376.02, 7.11, 353.49) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 14.53107
(376.02, 7.11, 353.49) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 14.45603
(376.02, 7.11, 353.49) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 14.43283
(376.02, 7.11, 353.49) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 14.54316
(376.02, 7.11, 353.49) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 14.82345
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.55998
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.52565
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.89842
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.16837
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.16813
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.17124
(376.02, 7.11, 353.49) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.1777
