¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™ (403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.352622
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.455581
(403.29, 14.86, 310.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.969632
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.798173
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.619275
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.545292
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.502874
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.477629
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.454884
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.433372
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.413081
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.394004
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.376106
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.35936
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.343773
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.329313
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.315962
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.303717
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.292562
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.28248
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.273465
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.265519
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.258614
(403.29, 14.86, 310.87) (383.20, 8.50, 303.34) (0.81, 2.16, 0.81) Human 5.252757
