¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460742
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05658
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73476
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58327
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57488
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38475
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17575
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 14.51571
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.39345
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263668
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611792
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002216
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436605
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920212
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446101
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03996
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71576
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54573
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53049
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38268
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15274
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 14.33628
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.30717
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257704
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602898
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989888
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.422827
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906918
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.431146
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02302
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69638
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50766
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48554
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38107
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14598
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 14.45177
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.221
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251513
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596088
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.977276
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408755
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891418
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.415889
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00571
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67163
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4691
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44001
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37988
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14466
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00811
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.135
Â(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245118
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589035
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.968852
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394375
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875275
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400309
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988059
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64581
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43006
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39394
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37916
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14385
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00221
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.04919
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238503
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581753
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960783
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381447
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858822
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384456
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966532
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6197
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39056
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34735
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37886
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14353
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98659
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.18248
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231696
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574228
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952449
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372173
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.842033
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.368283
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.943403
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59332
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35063
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3003
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37904
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14136
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97164
(427.80, 14.85, 251.89) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 15.45467
(427.80, 14.85, 251.89) (404.16, 6.96, 233.74) (2.01, 1.13, 1.81) Tools 16.57015
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224667
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566505
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943873
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.36262
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829766
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.349635
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.920015
(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56669
Å(427.80, 14.85, 251.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31027
