¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478386
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.767793
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.085712
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.436159
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817324
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240481
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284197
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.865805
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53237
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29786
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17321
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14179
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34427
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.832
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.56033
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.38463
(328.21, 7.29, 380.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 15.07595
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.67106
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.03921
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.99295
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.98377
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.97694
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.97245
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.9703
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.97048
(328.21, 7.29, 380.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.97299
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.972815
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215593
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.48026
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76985
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087978
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.437209
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.818245
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.241508
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289183
(328.21, 7.29, 380.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.870347
