¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3854
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.37725
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.37171
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.36877
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.36845
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.217716
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490584
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.958044
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137737
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329908
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535809
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860321
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367793
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958004
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334454
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.663831
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.022079
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413189
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06094
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6511
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36342
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.41039
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3838
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.35992
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.33872
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.32017
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.30427
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.291
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28033
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.27227
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26681
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26393
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26364
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.276907
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.711596
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995718
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.177918
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372822
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581747
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930562
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449158
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024764
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436859
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.77487
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.142941
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577398
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22654
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79963
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48968
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3083
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28194
Æ(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25827
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23726
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21889
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20314
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17945
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17149
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16609
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16327
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16301
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.337934
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861217
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.034214
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218962
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416705
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.628761
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001794
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53183
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056313
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.542418
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889438
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267769
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761442
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36383
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41336
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61857
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21031
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18418
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16071
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.13989
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.12169
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.10608
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.09307
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.08263
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.07475
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.06942
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.06665
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.06643
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.532516
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.898096
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.07349
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260903
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461554
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676827
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074026
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.615775
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.088489
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578797
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007712
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39677
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952861
Î(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50555
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45247
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75024
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1163
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.09038
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.06711
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.04647
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.02842
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.01296
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.00006
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.98972
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.98193
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.97667
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.97395
(341.26, 7.29, 379.60) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.97376
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.750307
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.935739
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113608
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303741
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507358
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725973
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147271
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701077
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121138
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614055
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129832
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.530094
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09492
(341.26, 7.29, 379.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65189
