¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.03969
(444.70, 14.76, 260.49) (430.46, 8.60, 233.60) (2.71, 1.85, 3.12) Tools 15.18767
(444.70, 14.76, 260.49) (430.46, 8.60, 233.60) (2.71, 1.85, 3.12) Tools 16.16344
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30486
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6549
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029894
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443286
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903406
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418482
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.994974
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52512
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11694
(444.70, 14.76, 260.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67398
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 11.97708
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.18383
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.30366
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.36962
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.3835
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.34458
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.25295
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 12.07907
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 11.75613
(444.70, 14.76, 260.49) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 11.73988
(444.70, 14.76, 260.49) (430.46, 8.60, 233.60) (2.71, 1.85, 3.12) Tools 15.81263
