¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452366
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741535
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059288
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416402
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813077
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.260406
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763875
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402889
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10825
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77257
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00989
(378.09, 9.94, 320.13) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 23.54102
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.524541
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.73099
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954665
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.197721
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462831
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752995
(378.09, 9.94, 320.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071844
