¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726238
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93965
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.170877
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422137
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.696102
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.990807
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.312028
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.66816
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.059938
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.493393
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978505
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.523308
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13642
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83657
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30782
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26279
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40112
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70678
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26941
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97205
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 16.63499
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 16.18852
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.8526
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 16.4341
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.52201
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.51814
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.51729
(403.80, 14.13, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 15.51948
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725782
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939163
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.170347
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421561
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695476
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989657
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310764
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.667826
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.058744
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.492061
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.977111
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.521734
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13357
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83331
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30193
(403.80, 14.13, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24916
