¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64215
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62773
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61599
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60692
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60052
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.146851
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.338833
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546402
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.77287
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025217
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.295321
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.594619
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929316
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.292759
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.701226
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155663
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.668927
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.272401
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.965666
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77022
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57038
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76328
(342.35, 7.25, 369.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19012
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.6839
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.656
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63087
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60847
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.5888
(342.35, 7.25, 369.95) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.57182
