¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.449566
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.433022
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.417465
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.402879
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.389247
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.376551
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.36478
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.353926
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.343973
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.337944
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.346344
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.372105
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.423908
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.18576
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.29291
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.98951
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.91777
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.8504
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 19.46553
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 20.38531
(336.06, 7.45, 349.63) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 20.39205
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.526773
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.503495
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.481345
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.460272
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.440269
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.4213
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.403351
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.386395
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.370428
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.355424
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.341374
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.328249
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.316047
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.304757
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.294368
(336.06, 7.45, 349.63) (334.89, 1.32, 330.26) (0.81, 2.16, 0.81) Human 4.284859
