¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.866139
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.408235
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.028094
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.727889
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54351
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45133
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78998
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59159
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14562
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.135934
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.286139
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.448565
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.631738
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.848701
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.088028
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.31759
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.567754
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.880298
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176496
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600606
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.986538
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406734
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.885556
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430474
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054101
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.758148
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41406
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49536
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84403
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66002
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20418
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.145039
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.295967
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.459204
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.640721
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.858589
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.098963
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.331082
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.582603
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895849
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19371
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610982
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.002264
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42446
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905397
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.453209
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.080734
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.78915
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45244
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54044
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89947
Ï(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72764
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26375
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.154246
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.305907
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.469965
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.649724
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.868501
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.109927
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.344764
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597664
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.911665
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211227
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621261
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.01832
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44256
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.925663
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476436
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.108003
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.820904
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49177
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58661
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95631
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78126
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32436
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66565
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.164592
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.315958
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.480851
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.659787
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.878438
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.120921
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.358636
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612939
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927659
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229043
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631438
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034705
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461038
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.946356
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.500163
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.135908
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63401
(416.96, 13.71, 322.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53211
