¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.794738
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.152267
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.673032
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2859
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95766
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7005
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45856
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49702
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61506
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85329
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91248
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63342
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.026383
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237443
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486365
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763024
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016813
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277573
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.549595
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.843865
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.183209
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.495173
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.798978
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.149168
(326.17, 6.90, 331.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.654897
