¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95133
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57392
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29949
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.10691
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.01341
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03175
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18375
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1866
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.74861
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56444
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336958
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656432
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009821
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434966
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909584
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17374
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73483
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00351
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.55282
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.27616
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08553
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.98949
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.00481
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15318
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15047
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70686
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51567
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315655
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633151
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009771
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43487
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909515
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15583
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71767
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05829
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53226
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.25707
(367.81, 9.74, 319.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.06477
