¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.76162
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.798187
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.838611
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.884031
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.972586
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.064847
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.231014
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.555114
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51827
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78768
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07078
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36863
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6823
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01295
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69119
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23145
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81368
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.439318
(432.31, 15.13, 247.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692321
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.748948
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.722005
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.723955
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.727217
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.733259
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.7715
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.811512
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.860698
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 6.948575
(432.31, 15.13, 247.51) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.040127
