¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ (431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11523
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15954
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37416
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.65439
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.62656
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.60187
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.58029
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.5618
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.93812
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.28784
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.93951
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.95057
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.96476
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.98209
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.00258
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.78654
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.63537
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.66863
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.70511
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441638
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.817441
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228725
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682205
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18468
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72098
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40024
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18375
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07967
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0498
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08387
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28565
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.62697
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.59917
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.5745
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.55294
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.53446
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.74364
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.5623
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.20791
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.22375
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.2428
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.26506
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.29058
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.8089
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.63655
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.62282
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.657
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433169
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.819998
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231527
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.685349
Ú (431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18817
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71231
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36852
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15065
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05049
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98469
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 14.22893
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 14.19795
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 14.16987
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 14.09802
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 14.07571
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.22648
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.67588
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.70341
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 17.66662
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.50822
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.52499
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.54502
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.56833
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.59971
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.10931
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.92963
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.91785
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.93488
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424323
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822409
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.234207
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.688264
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18163
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70351
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3365
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11393
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00857
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9199
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93381
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11037
(431.50, 13.22, 339.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53842
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.71979
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.6949
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.67314
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.65449
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 15.67735
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 17.26793
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.89221
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.91658
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.94433
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.97548
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 17.01008
(431.50, 13.22, 339.68) (426.17, 13.55, 302.60) (8.74, 12.15, 17.89) Truck 16.42468
