¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30434
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30496
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56761
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12375
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.52321
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.75207
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369414
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804743
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.266384
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.818335
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.466569
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28847
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28059
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5264
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00522
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.84541
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.76101
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.366805
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.802109
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.263415
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.810786
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.457836
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27128
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25458
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48299
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88286
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13344
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.3076
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.15295
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.11847
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.08863
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.06332
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.04433
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365726
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.798949
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.259854
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.802334
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.448122
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25277
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22696
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43744
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75681
(380.89, 14.11, 264.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13682
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.21232
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.09234
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.05986
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.03195
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 23.00856
(380.89, 14.11, 264.14) (383.10, 8.56, 303.62) (0.81, 2.16, 0.81) Human 22.9913
