¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.429951
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.410911
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.393702
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.378337
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.364956
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.353251
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.343249
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.335093
(332.67, 7.11, 323.57) (321.09, 1.16, 305.58) (0.81, 2.16, 0.81) Human 8.328599
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.06312
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.06273
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.06489
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.0696
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916417
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.170109
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447843
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753175
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090304
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.460744
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847328
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277797
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760118
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.303987
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.921988
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63008
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44944
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.87199
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.84578
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.82198
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.80057
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.78154
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.76485
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.7505
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.01444
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 13.00389
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.99589
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.99043
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.98751
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.98712
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.98926
(332.67, 7.11, 323.57) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 12.99394
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917663
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172398
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450378
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75597
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.093384
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462795
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8496
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280347
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.762969
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30724
¿(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925658
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63435
(332.67, 7.11, 323.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45439
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.9956
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.96326
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.93343
(332.67, 7.11, 323.57) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 11.90605
