¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä (336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.771545
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.063552
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.387993
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.750511
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.158124
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.589162
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.015976
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.508421
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.094951
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.8416
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65965
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4697
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40184
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.065517
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.273034
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.513642
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.778439
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.071195
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.396511
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.760059
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.168901
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.619229
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.048753
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.541785
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.133198
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.883156
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73646
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57487
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64692
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.067473
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.278655
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.519818
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.785253
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.07875
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.404932
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.769502
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.179563
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.644091
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.081907
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.575439
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.171792
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.924891
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90066
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6792
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89468
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.069457
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.284208
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.525918
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.791984
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.086215
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.413255
á (336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.778837
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.190101
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.656081
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.115741
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.611045
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.210737
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.966792
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.9546
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78258
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14499
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.071467
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.28969
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.531943
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.798635
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.093589
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.421477
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.78806
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.200518
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.667933
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.150614
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.649353
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.250031
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.00886
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.0085
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8849
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39764
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.073656
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.295103
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.53789
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.805199
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.100871
(336.52, 7.34, 311.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.429597
