¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 19.07856
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.51139
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.99166
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.08231
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.94088
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.93303
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.92867
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.92781
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.498087
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.70747
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346098
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607429
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.892573
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204949
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548483
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92806
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349519
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.820173
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.348969
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.931815
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58765
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33853
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21038
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34024
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56841
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30576
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.58016
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.55525
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.53383
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.51586
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.50135
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.96385
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.95598
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.95161
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.3625
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.492805
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.70175
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.928421
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601048
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885626
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.197296
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54004
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918711
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.339138
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.808534
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.335834
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.914059
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56739
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31529
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16735
È(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12521
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23415
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41442
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11086
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.60618
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.58122
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.55976
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.54176
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.52721
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.5161
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.11278
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.10836
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.27888
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.487577
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.69609
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922345
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594759
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878732
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189726
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531736
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909497
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328911
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797051
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.322903
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.896593
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5475
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29242
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09567
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04166
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13048
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2668
(421.96, 14.96, 246.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9201
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.63573
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.61071
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.5892
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.57116
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.55658
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 17.54544
(421.96, 14.96, 246.52) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 18.1431
