¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.184296
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.386433
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.606089
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.845619
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.107764
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400349
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601919
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817931
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049985
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299923
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569696
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67147
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81514
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96461
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12014
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28199
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45043
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61713
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78923
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96837
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90202
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.68293
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.735265
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.782889
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.939697
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.12141
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.318088
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.531624
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764161
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018346
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237237
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427315
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630696
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84873
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33538
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639702
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59623
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73814
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88585
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03946
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19935
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36577
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.539
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70969
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88686
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83222
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.58068
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.760834
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.882976
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.060033
‘(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.251499
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.459149
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.684997
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.931607
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.102371
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263287
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455111
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66035
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880479
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117059
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372012
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831864
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52409
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66437
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81035
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96221
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12023
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28469
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45589
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63371
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80903
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70466
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.48386
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.827489
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.000087
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.186523
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.388539
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.608037
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841178
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97965
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126076
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290155
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483723
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690955
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913205
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152197
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40981
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033567
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45505
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59377
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73809
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88825
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04451
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20709
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37636
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55256
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73478
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56599
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.39241
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.941434
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.123065
‘(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.319615
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533006
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.73108
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.863281
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002924
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.152605
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318193
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513221
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722435
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946958
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.188407
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448784
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245452
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38894
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5262
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66898
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81752
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97206
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13294
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30032
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47462
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73501
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43249
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.30943
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.060973
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.252323
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.459814
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.626488
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.752822
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.886117
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026948
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180737
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347957
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543609
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754899
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981727
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225736
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556468
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44833
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32581
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46165
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60293
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74994
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9029
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06207
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30068
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60241
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79585
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30406
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.23156
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.186477
ˆ(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.38831
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.526998
(335.32, 7.48, 352.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647839
