¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09136
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88359
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79615
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84866
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.07594
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.47284
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18176
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30718
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.79966
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.69817
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.69013
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.68613
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.68617
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.69024
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088089
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329199
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586988
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.868066
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.172939
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.502393
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.864185
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.256992
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.691953
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.204159
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.755298
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38072
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08591
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87619
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.7884
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8398
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.0633
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.45009
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.14515
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24697
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.74897
(408.59, 14.16, 246.59) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 23.38927
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 22.00856
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.67826
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.76396
(408.59, 14.16, 246.59) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 20.83318
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087408
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328489
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586216
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867223
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171972
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.501306
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.862877
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.255524
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.690818
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.201017
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.75211
ê(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37613
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08069
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86912
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78106
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83141
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.05125
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.42943
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.08479
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17581
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.69672
(408.59, 14.16, 246.59) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 23.18255
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.87157
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.76662
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.98058
(408.59, 14.16, 246.59) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 22.12325
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.08673
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.327808
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.585477
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866413
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171072
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500269
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.861659
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254174
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.689742
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.198033
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.749059
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37175
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07569
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86358
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.77412
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82348
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03756
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.40977
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.05991
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.12008
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60949
(408.59, 14.16, 246.59) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 24.14544
(408.59, 14.16, 246.59) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 23.89054
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 22.44726
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.93329
(408.59, 14.16, 246.59) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 21.96831
(408.59, 14.16, 246.59) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 22.34927
(408.59, 14.16, 246.59) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 22.16189
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.086058
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.327157
(408.59, 14.16, 246.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584767
