¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ø(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60877
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77735
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95299
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13999
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40355
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62473
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51347
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.12132
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.29477
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329527
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635247
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.969182
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370996
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833445
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328376
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884033
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51235
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17347
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86874
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33337
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48984
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65284
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82268
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9997
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24279
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51076
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99589
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87321
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.60042
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.19542
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.340907
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648255
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983439
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384795
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.843504
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.339599
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.896696
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5267
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21081
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91102
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37719
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53491
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69921
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87042
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08998
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34928
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8069
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32772
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24943
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.58539
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.17548
ş(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345934
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661264
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.997683
(336.09, 7.38, 349.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.398306
