¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
†(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.786724
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010656
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253927
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519038
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808989
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127394
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.425285
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747968
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.100766
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483141
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.905231
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.371239
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.875799
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43998
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0748
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79427
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63661
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61194
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70364
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98286
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53768
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36726
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57453
(427.48, 9.75, 364.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35505
