¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.56746
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.44214
(411.24, 14.53, 245.38) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 17.42105
(411.24, 14.53, 245.38) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.2259
(411.24, 14.53, 245.38) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 20.37933
(411.24, 14.53, 245.38) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 20.27716
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611113
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84663
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098886
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375623
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.681386
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.018408
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.39051
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810949
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.279958
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.811444
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.400597
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79566
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67753
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66221
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7788
(411.24, 14.53, 245.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03907
