¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716759
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.252455
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.706461
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.680026
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.698827
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.719867
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.785604
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.860249
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.01047
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.26024
(438.71, 13.90, 280.24) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 15.1609
(438.71, 13.90, 280.24) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 15.55513
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86244
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32282
(438.71, 13.90, 280.24) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 15.34292
(438.71, 13.90, 280.24) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 14.48772
(438.71, 13.90, 280.24) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.80648
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090852
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.42815
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800683
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219577
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692433
(438.71, 13.90, 280.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224936
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.732678
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.7062
(438.71, 13.90, 280.24) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.72277
