¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928882
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153308
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396674
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661443
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950504
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26725
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601926
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.939208
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.809877
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.781958
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.755744
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.731207
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.708323
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.687069
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.667422
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.649364
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.632874
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.617938
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.604539
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.592665
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.582304
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.573446
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.566081
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.560203
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.555807
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.552886
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.551441
(405.46, 14.29, 246.48) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 10.06847
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.925375
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149518
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.39256
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656963
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945598
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260047
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591729
(405.46, 14.29, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.92805
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.788695
(405.46, 14.29, 246.48) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.760858
